N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8236079097415989,0.7927640953602849,0.7703032260584524,0.16825775656324582,0.633636088646314,0.24126588993452122
Model2,500,2,1,0.8282178818391362,0.7905427207668261,0.7797086520900088,0.19749403341288782,0.5936322953530591,0.27320420986950816
Model3,500,3,1,0.8306441829431033,0.7893963761404672,0.7943140928239917,0.2893794749403341,0.48256998262688744,0.31962715258151775
Model4,500,1,2,0.8563629746451534,0.8408980735619431,0.8234057469104878,0.3305489260143198,0.747257500102436,0.43154202854191037
Model5,500,2,2,0.8847506975615674,0.8844191432063763,0.8739884000124298,0.5507159904534606,0.746610621174283,0.5991817290180494
Model6,500,3,2,0.8974887783573942,0.8908906974024058,0.8864059818859062,0.5698090692124105,0.7864528219210267,0.6440186436649852
Model7,800,1,2,0.8671600145578067,0.8547615072726253,0.8427842053627965,0.38663484486873506,0.7733507459056715,0.5043072880398475
Model8,800,2,2,0.8868130534999393,0.885218729854781,0.8849908939833969,0.6384248210023866,0.6924687749062203,0.6606649104064855
Model9,800,3,2,0.8855999029479559,0.8914030774871601,0.8880705788982916,0.6921241050119332,0.6594090216890851,0.6739011729840457
