N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.822273444134417,0.7960711125112777,0.7789863004370491,0.2022673031026253,0.5811132801008922,0.2611886683062055
Model2,500,2,1,0.8188766225888633,0.7962569513776909,0.7997185652701952,0.366945107398568,0.4378998159842527,0.36614808856776
Model3,500,3,1,0.8217881839136236,0.7703734271820718,0.7628996138090934,0.1431980906921241,0.5423954411086425,0.20935742584884445
Model4,500,1,2,0.8630353026810628,0.8518085736175304,0.8381416066616919,0.3943914081145585,0.7437181167922784,0.48544459857247696
Model5,500,2,2,0.8888754094383113,0.8802177439726545,0.880260487842659,0.5638424821002387,0.7248827737995274,0.6260794045775259
Model6,500,3,2,0.893970641756642,0.8859783263877326,0.8858940876956728,0.5829355608591885,0.7413127473223511,0.6446855609504668
Model7,800,1,2,0.8493267014436492,0.8432640522571652,0.837894575026832,0.49105011933174225,0.5780894025820423,0.4941935056856894
Model8,800,2,2,0.8919082858182701,0.8948679421921399,0.8844994975104171,0.6068019093078759,0.7621114605295515,0.6420753777923874
Model9,800,3,2,0.9018561203445348,0.8980234084915261,0.8903135857359106,0.5435560859188544,0.862929261510329,0.6635805139857798
